fpr,tpr,precision,recall
0.32419980601357906,0.773109243697479,0.04909284951974386,0.773109243697479
0.32444228903976724,0.773109243697479,0.04911906033101975,0.773109243697479
0.3399612027158099,0.773109243697479,0.049145299145299144,0.773109243697479
0.3448108632395732,0.773109243697479,0.04917156600748263,0.773109243697479
0.34602327837051405,0.773109243697479,0.04922418405564473,0.773109243697479
0.3467507274490786,0.773109243697479,0.049276914836636314,0.773109243697479
0.34747817652764307,0.773109243697479,0.04930332261521972,0.773109243697479
0.3484481086323957,0.773109243697479,0.04935622317596566,0.773109243697479
0.3489330746847721,0.773109243697479,0.04940923737916219,0.773109243697479
0.3528128031037827,0.773109243697479,0.049435787211176786,0.773109243697479
0.35329776915615907,0.773109243697479,0.04946236559139785,0.773109243697479
0.3564500484966052,0.773109243697479,0.04948897256589564,0.773109243697479
0.35790494665373423,0.773109243697479,0.04951560818083961,0.773109243697479
0.3583899127061106,0.773109243697479,0.04954227248249865,0.773109243697479
0.3596023278370514,0.773109243697479,0.04981050351922036,0.773109243697479
0.3605722599418041,0.773109243697479,0.04983748645720477,0.773109243697479
0.3610572259941804,0.773109243697479,0.05021834061135371,0.773109243697479
0.36129970902036856,0.773109243697479,0.05032822757111598,0.773109243697479
0.3625121241513094,0.773109243697479,0.050383351588170866,0.773109243697479
0.3627546071774976,0.773109243697479,0.050605060506050605,0.773109243697479
0.36323957322987394,0.773109243697479,0.05080066261733849,0.773109243697479
0.36372453928225024,0.773109243697479,0.05088495575221239,0.773109243697479
0.3649369544131911,0.773109243697479,0.0509131156613171,0.773109243697479
0.3680892337536372,0.773109243697479,0.05094130675526024,0.773109243697479
0.36881668283220176,0.773109243697479,0.05096952908587258,0.773109243697479
0.3702715809893308,0.773109243697479,0.05174353205849269,0.773109243697479
0.3707565470417071,0.773109243697479,0.05177265053460889,0.773109243697479
0.3758486905916586,0.773109243697479,0.0518018018018018,0.773109243697479
0.3763336566440349,0.773109243697479,0.05186020293122886,0.773109243697479
0.37851600387972845,0.773109243697479,0.05188945290468133,0.773109243697479
0.3802133850630456,0.773109243697479,0.05191873589164785,0.773109243697479
0.3814258001939864,0.773109243697479,0.05194805194805195,0.773109243697479
0.38336566440349173,0.773109243697479,0.05296488198042602,0.773109243697479
0.3838506304558681,0.773109243697479,0.052995391705069124,0.773109243697479
0.38433559650824445,0.773109243697479,0.05302593659942363,0.773109243697479
0.38457807953443257,0.773109243697479,0.0530565167243368,0.773109243697479
0.39427740058195926,0.773109243697479,0.05308713214079631,0.773109243697479
0.39791464597478177,0.773109243697479,0.05355064027939464,0.773109243697479
0.3988845780795344,0.773109243697479,0.054827175208581644,0.773109243697479
0.4071290009699321,0.773109243697479,0.054859868813357186,0.773109243697479
0.40785645004849663,0.773109243697479,0.05492537313432836,0.773109243697479
0.40834141610087293,0.773109243697479,0.054958183990442055,0.773109243697479
0.4088263821532493,0.773109243697479,0.05499103407053198,0.773109243697479
0.41537342386032977,0.773109243697479,0.05525525525525526,0.773109243697479
0.41610087293889425,0.773109243697479,0.055288461538461536,0.773109243697479
0.4168283220174588,0.773109243697479,0.05532170775706555,0.773109243697479
0.4185257032007759,0.773109243697479,0.05535499398315283,0.773109243697479
